depth (m), serialnum, dt, instrument, notes
1.2578,207048,0,solo,
2.2578,207045,0,solo,
3.2578,60183,0,concerto,
4.2578,207057,0,solo,
5.2578,207054,0,solo,
6.2578,207018,0,solo,
7.2578,207052,0,solo,
8.2578,207056,0,solo,
9.2578,207033,0,solo,
10.2578,207028,0,solo,
11.2578,60559,0,concerto,
12.2578,207058,0,solo,
13.2578,207023,0,solo,
14.2578,207024,0,solo,
15.2578,207060,0,solo,
16.2578,207021,0,solo,
17.2578,207027,0,solo,
18.2578,207030,0,solo,
19.2578,60523,0,concerto,
20.2578,207046,0,solo,
21.2578,207032,0,solo,
22.2578,207036,0,solo,
23.2578,207063,0,solo,
24.2578,207025,0,solo,
25.2578,207038,0,solo,
26.2578,207020,0,solo,
27.2578,60558,0,concerto,
28.2578,207044,0,solo,
29.2578,207029,0,solo,
